# Arandkei 500 Index, -, Official Constituent Dataset,,
# Copyright (c), 2026 Arandkei., All rights reserved.,,
# Author:, Arandkei, (Gerardo LunaRodas),,
# Methodology:, https://github.com/lunarodas/arandkei-500/blob/main/METHODOLOGY.md,,,
# License:, MIT License,,,
# Output Weight Scheme:, Equal Weight,,, 0.20%
Ticker,Name,Exchange,Sector,Weight
GLOB,Globant S.A.,NYSE,Technology,0.20%
GLXY,Galaxy Digital Inc.,NASDAQ,Financials,0.20%
GPGI,"GPGI, Inc.",NYSE,Industrials,0.20%
GRAB,Grab Holdings Limited,NASDAQ,Technology,0.20%
GRAL,"GRAIL, Inc.",NASDAQ,Healthcare,0.20%
GSAT,"Globalstar, Inc.",NASDAQ,Communication Services,0.20%
GTLB,GitLab Inc.,NASDAQ,Technology,0.20%
GTX,Garrett Motion Inc.,NASDAQ,Consumer Discretionary,0.20%
HBM,Hudbay Minerals Inc.,NYSE,Materials,0.20%
HEI,HEICO Corporation,NYSE,Industrials,0.20%
HHH,Howard Hughes Holdings Inc.,NYSE,Real Estate,0.20%
HLIO,"Helios Technologies, Inc.",NYSE,Industrials,0.20%
HNGE,"Hinge Health, Inc.",NYSE,Healthcare,0.20%
HRI,Herc Holdings Inc.,NYSE,Industrials,0.20%
HTFL,"HeartFlow, Inc.",NASDAQ,Healthcare,0.20%
HUBS,"HubSpot, Inc.",NYSE,Technology,0.20%
HURN,Huron Consulting Group Inc.,NASDAQ,Industrials,0.20%
HUT,Hut 8 Corp.,NASDAQ,Financials,0.20%
HYMC,Hycroft Mining Holding Corporation,NASDAQ,Materials,0.20%
IAG,IAMGOLD Corporation,NYSE,Materials,0.20%
IBRX,"ImmunityBio, Inc.",NASDAQ,Healthcare,0.20%
ICL,ICL Group Ltd,NYSE,Materials,0.20%
ICLR,ICON Public Limited Company,NASDAQ,Healthcare,0.20%
IDYA,"IDEAYA Biosciences, Inc.",NASDAQ,Healthcare,0.20%
IFS,Intercorp Financial Services Inc.,NYSE,Financials,0.20%
IMAX,IMAX Corporation,NYSE,Communication Services,0.20%
IMNM,"Immunome, Inc.",NASDAQ,Healthcare,0.20%
IMO,Imperial Oil Limited,AMERICAN,Energy,0.20%
IMVT,"Immunovant, Inc.",NASDAQ,Healthcare,0.20%
INFQ,"Infleqtion, Inc.",NYSE,Technology,0.20%
INGM,Ingram Micro Holding Corporation,NYSE,Technology,0.20%
INIO,Innio N.V.,NASDAQ,Industrials,0.20%
INOD,Innodata Inc.,NASDAQ,Technology,0.20%
INSM,Insmed Incorporated,NASDAQ,Healthcare,0.20%
INTA,"Intapp, Inc.",NASDAQ,Technology,0.20%
INTR,"Inter & Co, Inc.",NASDAQ,Financials,0.20%
IONQ,"IonQ, Inc.",NYSE,Technology,0.20%
IONS,"Ionis Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.20%
IOT,Samsara Inc.,NYSE,Technology,0.20%
IOVA,"Iovance Biotherapeutics, Inc.",NASDAQ,Healthcare,0.20%
IREN,IREN Limited,NASDAQ,Financials,0.20%
IRON,"Disc Medicine, Inc.",NASDAQ,Healthcare,0.20%
IRTC,"iRhythm Holdings, Inc.",NASDAQ,Healthcare,0.20%
JAN,"Janus Living, Inc.",NYSE,Real Estate,0.20%
JBS,JBS N.V.,NYSE,Consumer Staples,0.20%
JOBY,"Joby Aviation, Inc.",NYSE,Industrials,0.20%
KEEL,Keel Infrastructure Corp.,NASDAQ,Technology,0.20%
KGC,Kinross Gold Corporation,NYSE,Materials,0.20%
KLAR,Klarna Group plc,NYSE,Financials,0.20%
KNSA,"Kiniksa Pharmaceuticals International, plc",NASDAQ,Healthcare,0.20%
KOD,Kodiak Sciences Inc.,NASDAQ,Healthcare,0.20%
KVYO,"Klaviyo, Inc.",NYSE,Technology,0.20%
KYMR,"Kymera Therapeutics, Inc.",NASDAQ,Healthcare,0.20%
LASR,"nLIGHT, Inc.",NASDAQ,Technology,0.20%
LB,LandBridge Company LLC,NYSE,Energy,0.20%
LBTYA,Liberty Global Ltd.,NASDAQ,Communication Services,0.20%
LCID,"Lucid Group, Inc.",NASDAQ,Consumer Discretionary,0.20%
LEVI,Levi Strauss & Co.,NYSE,Consumer Discretionary,0.20%
LGN,Legence Corp.,NASDAQ,Industrials,0.20%
LINE,"Lineage, Inc.",NASDAQ,Real Estate,0.20%
LION,Lionsgate Studios Corp.,NYSE,Communication Services,0.20%
LKFT,Lakefront Biotherapeutics NV,NASDAQ,Healthcare,0.20%
LLYVK,"Liberty Live Holdings, Inc.",NASDAQ,Communication Services,0.20%
LMND,"Lemonade, Inc.",NYSE,Financials,0.20%
LNG,"Cheniere Energy, Inc.",NYSE,Energy,0.20%
LOAR,Loar Holdings Inc.,NYSE,Industrials,0.20%
LPLA,LPL Financial Holdings Inc.,NASDAQ,Financials,0.20%
LUNR,"Intuitive Machines, Inc.",NASDAQ,Industrials,0.20%
MAAS,Maase Inc.,NASDAQ,Financials,0.20%
MAIR,Madison Air Solutions Corporation,NYSE,Industrials,0.20%
MANE,"Veradermics, Incorporated",NYSE,Healthcare,0.20%
MBLY,Mobileye Global Inc.,NASDAQ,Consumer Discretionary,0.20%
MDA,MDA Space Ltd.,NYSE,Industrials,0.20%
MDB,"MongoDB, Inc.",NASDAQ,Technology,0.20%
MDGL,"Madrigal Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.20%
MDLN,Medline Inc.,NASDAQ,Healthcare,0.20%
MELI,"MercadoLibre, Inc.",NASDAQ,Consumer Discretionary,0.20%
MEOH,Methanex Corporation,NASDAQ,Materials,0.20%
MFC,Manulife Financial Corporation,NYSE,Financials,0.20%
MGA,Magna International Inc.,NYSE,Consumer Discretionary,0.20%
MGNI,"Magnite, Inc.",NASDAQ,Communication Services,0.20%
MIAX,"Miami International Holdings, Inc.",NYSE,Financials,0.20%
MICC,The Magnum Ice Cream Company N.V.,NYSE,Consumer Staples,0.20%
MIRM,"Mirum Pharmaceuticals, Inc.",NASDAQ,Healthcare,0.20%
MKL,Markel Group Inc.,NYSE,Financials,0.20%
MMED,"MiniMed Group, Inc.",NASDAQ,Healthcare,0.20%
MMYT,MakeMyTrip Limited,NASDAQ,Consumer Discretionary,0.20%
MNDY,monday.com Ltd.,NASDAQ,Technology,0.20%
MOD,Modine Manufacturing Company,NYSE,Consumer Discretionary,0.20%
MRX,Marex Group Limited,NASDAQ,Financials,0.20%
MSGE,Madison Square Garden Entertainment Corp.,NYSE,Consumer Discretionary,0.20%
MSTR,Strategy Inc,NASDAQ,Technology,0.20%
MWH,"SOLV Energy, Inc.",NASDAQ,Utilities,0.20%
NAMS,NewAmsterdam Pharma Company N.V.,NASDAQ,Healthcare,0.20%
NAVN,"Navan, Inc.",NASDAQ,Technology,0.20%
NBIS,Nebius Group N.V.,NASDAQ,Communication Services,0.20%
